restaurante_id,tripadvisor_id,nombre_restaurante,tripadvisor_web,review_id,title,text,rating,ratingText,date,tripDate,language,ownerResponse,ownerResponseDate,user_id,user_name,user_username,user_hometown,user_contributions,user_helpfulVotes,user_level,place_id,place_name,place_url,tripType,travelParty,visitedDuring,device,raw_data
3,23789496,Hiroshi Girona,https://www.tripadvisor.com/Restaurant_Review-g187499-d23789496-Reviews-Hiroshi_Girona-Girona_Province_of_Girona_Catalonia.html,832085578,SImplemente perfecto,"Muy buen trato en unas instalaciones muy acogedoras , los productos de primera la presentacion espectacular y todo buenisimo.Un ambiente y un trato super agradable.
Para nosotros todo perfecto.Volveremos.",5,,,,,,,,Matcos,matiascO7859BL,,"{'totalContributions': 1, 'helpfulVotes': 0}",,,,,,NONE,,,,"{'id': '832085578', 'url': 'https://www.tripadvisor.com/ShowUserReviews-g187499-d23789496-r832085578-Hiroshi_Girona-Girona_Province_of_Girona_Catalonia.html', 'title': 'SImplemente perfecto', 'lang': 'es', 'locationId': '23789496', 'publishedDate': '2022-03-23', 'publishedPlatform': 'OTHER', 'rating': 5, 'helpfulVotes': 0, 'text': 'Muy buen trato en unas instalaciones muy acogedoras , los productos de primera la presentacion espectacular y todo buenisimo.Un ambiente y un trato super agradable.\n..."
4,23687398,Originem,https://www.tripadvisor.com/Restaurant_Review-g187499-d23687398-Reviews-Originem-Girona_Province_of_Girona_Catalonia.html,1027633400,Atención 5 estrella de la camarera Gessica,"Sitio muy agradable con destaque a camarera Gessica, genial . Desayuno saludable y de cualidad. Volveré repetir la experiencia.",5,,,,,,,,Lilian L,N7007DPlilianl,,"{'totalContributions': 1, 'helpfulVotes': 0}",,,,,,FRIENDS,,,,"{'id': '1027633400', 'url': 'https://www.tripadvisor.com/ShowUserReviews-g187499-d23687398-r1027633400-Originem-Girona_Province_of_Girona_Catalonia.html', 'title': 'Atención 5 estrella de la camarera Gessica', 'lang': 'es', 'locationId': '23687398', 'publishedDate': '2025-08-30', 'publishedPlatform': 'OTHER', 'rating': 5, 'helpfulVotes': 0, 'text': 'Sitio muy agradable con destaque a camarera Gessica, genial . Desayuno saludable y de cualidad. Volveré repetir la experiencia.', 'roomTip': None, '..."
4,23687398,Originem,https://www.tripadvisor.com/Restaurant_Review-g187499-d23687398-Reviews-Originem-Girona_Province_of_Girona_Catalonia.html,1026079279,Bocadillos sabrosos y originales,"Queríamos comer algo rápido para seguir visitando la ciudad y no pudimos escoger mejor. Unos bocadillos y ensaladas originales y con grandes matices de sabor. El bocadillo de pollo para apuntar. El sitio es agradable, el camarero andaba despistado o enamorado de alguna clienta de la terraza, pero era amable. El agua es gratuita y te puedes servir cuanto quiera de unos grifos que tienen. La decoración original. Desde luego si vuelvo a Girona me pararé a tomar otro bocata.",5,,,,,,,,Guillerme P,guillermep,,"{'totalContributions': 183, 'helpfulVotes': 31}",,,,,,COUPLES,,,,"{'id': '1026079279', 'url': 'https://www.tripadvisor.com/ShowUserReviews-g187499-d23687398-r1026079279-Originem-Girona_Province_of_Girona_Catalonia.html', 'title': 'Bocadillos sabrosos y originales', 'lang': 'es', 'locationId': '23687398', 'publishedDate': '2025-08-22', 'publishedPlatform': 'OTHER', 'rating': 5, 'helpfulVotes': 0, 'text': 'Queríamos comer algo rápido para seguir visitando la ciudad y no pudimos escoger mejor. Unos bocadillos y ensaladas originales y con grandes matices de sabor...."
4,23687398,Originem,https://www.tripadvisor.com/Restaurant_Review-g187499-d23687398-Reviews-Originem-Girona_Province_of_Girona_Catalonia.html,1022365895,Delicious brunch,"Cibo di ottima  qualità, al di sopra delle aspettative, smoothie autentici, consiglio anche cappucino sebada, torte favolose, roll e cinnamon bun, infusi e matcha. Verificate le foto su google ed instagram.",5,,,,,,,,Anna R,annarF3737BS,,"{'totalContributions': 5, 'helpfulVotes': 0}",,,,,,FAMILY,,,,"{'id': '1022365895', 'url': 'https://www.tripadvisor.com/ShowUserReviews-g187499-d23687398-r1022365895-Originem-Girona_Province_of_Girona_Catalonia.html', 'title': 'Delicious brunch', 'lang': 'it', 'locationId': '23687398', 'publishedDate': '2025-08-03', 'publishedPlatform': 'OTHER', 'rating': 5, 'helpfulVotes': 0, 'text': 'Cibo di ottima  qualità, al di sopra delle aspettative, smoothie autentici, consiglio anche cappucino sebada, torte favolose, roll e cinnamon bun, infusi e matcha. Verificate..."
4,23687398,Originem,https://www.tripadvisor.com/Restaurant_Review-g187499-d23687398-Reviews-Originem-Girona_Province_of_Girona_Catalonia.html,1013135569,Manque d'amabilité et tarifs assez élevés,"mauvais accueil, de plus il manque de nombreux produits qui sont à la carte
les prix sont plus élevés que dans les établissements voisins et le service est très Médiocre",2,,,,,,,,frenchparadox24,frenchparadox24,,"{'totalContributions': 426, 'helpfulVotes': 575}",,,,,,COUPLES,,,,"{'id': '1013135569', 'url': 'https://www.tripadvisor.com/ShowUserReviews-g187499-d23687398-r1013135569-Originem-Girona_Province_of_Girona_Catalonia.html', 'title': ""Manque d'amabilité et tarifs assez élevés"", 'lang': 'fr', 'locationId': '23687398', 'publishedDate': '2025-06-15', 'publishedPlatform': 'OTHER', 'rating': 2, 'helpfulVotes': 0, 'text': 'mauvais accueil, de plus il manque de nombreux produits qui sont à la carte\nles prix sont plus élevés que dans les établissements voisins et le serv..."
4,23687398,Originem,https://www.tripadvisor.com/Restaurant_Review-g187499-d23687398-Reviews-Originem-Girona_Province_of_Girona_Catalonia.html,1008533500,Un caffè dove soffermarsi,A mio avviso questa caffetteria offre un ottima scelta di bevande a base di caffe e matcha oltre a dolci spagnoli interessanti. Il luogo dove si trova é molto suggestivo e i camerieri oltre a parlare piu lingue si sono mostrati molto ospitali. Vi vonsiglio vivamente questo posto per godersi una piccola pausa accompagnati da una buon caffe e un atmosfera rilassante.,5,,,,,,,,Ole,Ol3noveundici,,"{'totalContributions': 3, 'helpfulVotes': 0}",,,,,,COUPLES,,,,"{'id': '1008533500', 'url': 'https://www.tripadvisor.com/ShowUserReviews-g187499-d23687398-r1008533500-Originem-Girona_Province_of_Girona_Catalonia.html', 'title': 'Un caffè dove soffermarsi', 'lang': 'it', 'locationId': '23687398', 'publishedDate': '2025-05-21', 'publishedPlatform': 'MOBILE', 'rating': 5, 'helpfulVotes': 1, 'text': 'A mio avviso questa caffetteria offre un ottima scelta di bevande a base di caffe e matcha oltre a dolci spagnoli interessanti. Il luogo dove si trova é molto sugge..."
4,23687398,Originem,https://www.tripadvisor.com/Restaurant_Review-g187499-d23687398-Reviews-Originem-Girona_Province_of_Girona_Catalonia.html,1003064572,Xuixo,"I stopped at Originem while visiting the old town of Girona, and I had ""Xuixo"" (local sweet, filled with cream and deep fried) and cappuccino. 
Xuixo and cappuccino were good, service was also good, and prices were medium.

They also sell some local products.",4,,,,,,,,ANGELO V,ANGELOV230,,"{'totalContributions': 5839, 'helpfulVotes': 463}",,,,,,SOLO,,,,"{'id': '1003064572', 'url': 'https://www.tripadvisor.com/ShowUserReviews-g187499-d23687398-r1003064572-Originem-Girona_Province_of_Girona_Catalonia.html', 'title': 'Xuixo', 'lang': 'en', 'locationId': '23687398', 'publishedDate': '2025-04-17', 'publishedPlatform': 'OTHER', 'rating': 4, 'helpfulVotes': 0, 'text': 'I stopped at Originem while visiting the old town of Girona, and I had ""Xuixo"" (local sweet, filled with cream and deep fried) and cappuccino. \nXuixo and cappuccino were good, service ..."
4,23687398,Originem,https://www.tripadvisor.com/Restaurant_Review-g187499-d23687398-Reviews-Originem-Girona_Province_of_Girona_Catalonia.html,997999160,Pour un café sans plus ,"Café bien placé dans le quartier juif de Gironde. Il propose quelques sandwiches et des salades. Le tout est moyen. Il y a peu de places assises, risque d'encombrement aux moments du repas. ",3,,,,,,,,Alain B,N8318XAalainb,,"{'totalContributions': 1199, 'helpfulVotes': 100}",,,,,,FAMILY,,,,"{'id': '997999160', 'url': 'https://www.tripadvisor.com/ShowUserReviews-g187499-d23687398-r997999160-Originem-Girona_Province_of_Girona_Catalonia.html', 'title': 'Pour un café sans plus ', 'lang': 'fr', 'locationId': '23687398', 'publishedDate': '2025-03-13', 'publishedPlatform': 'MOBILE', 'rating': 3, 'helpfulVotes': 0, 'text': ""Café bien placé dans le quartier juif de Gironde. Il propose quelques sandwiches et des salades. Le tout est moyen. Il y a peu de places assises, risque d'encombrement ..."
4,23687398,Originem,https://www.tripadvisor.com/Restaurant_Review-g187499-d23687398-Reviews-Originem-Girona_Province_of_Girona_Catalonia.html,983614901,Not the best,"Boring, tasteless food. We got the breakfast croissant. The egg was cold and hard boiled. Not sure how a cold egg goes good on a warm sandwich. Wouldn't recommend.",2,,,,,,,,Josh B,J3709KYjoshb,,"{'totalContributions': 7, 'helpfulVotes': 3}",,,,,,COUPLES,,,,"{'id': '983614901', 'url': 'https://www.tripadvisor.com/ShowUserReviews-g187499-d23687398-r983614901-Originem-Girona_Province_of_Girona_Catalonia.html', 'title': 'Not the best', 'lang': 'en', 'locationId': '23687398', 'publishedDate': '2024-12-08', 'publishedPlatform': 'OTHER', 'rating': 2, 'helpfulVotes': 0, 'text': ""Boring, tasteless food. We got the breakfast croissant. The egg was cold and hard boiled. Not sure how a cold egg goes good on a warm sandwich. Wouldn't recommend."", 'roomTip': Non..."
4,23687398,Originem,https://www.tripadvisor.com/Restaurant_Review-g187499-d23687398-Reviews-Originem-Girona_Province_of_Girona_Catalonia.html,978514384,Absoluta decepción,"Entras esperando que te hagan un buen café, se venden como cafetería de especialidad, pues el café es un brebaje espantoso, amargo y quemado, la leche hirviendo, no tiene ni idea de prepararlo, una estafa a precio de oro",1,,,,,,,,Alberto G,albertog355,,"{'totalContributions': 2, 'helpfulVotes': 3}",,,,,,COUPLES,,,,"{'id': '978514384', 'url': 'https://www.tripadvisor.com/ShowUserReviews-g187499-d23687398-r978514384-Originem-Girona_Province_of_Girona_Catalonia.html', 'title': 'Absoluta decepción', 'lang': 'es', 'locationId': '23687398', 'publishedDate': '2024-11-03', 'publishedPlatform': 'OTHER', 'rating': 1, 'helpfulVotes': 0, 'text': 'Entras esperando que te hagan un buen café, se venden como cafetería de especialidad, pues el café es un brebaje espantoso, amargo y quemado, la leche hirviendo, no tiene ni ..."
